t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],delta_rudder [rad],n_prop [rps],true_wind_speed [m/s],true_wind_direction [rad],delta_rudder_cmd [rad],n_prop_cmd [rps],x_position_mid_hat [m],u_velo_hat [m/s],y_position_mid_hat [m],vm_velo_hat [m/s],psi_hat [rad],r_angvelo_hat [rad/s],delta_rudder_hat [rad],n_prop_hat [rps],true_wind_speed_hat [m/s],true_wind_direction_hat [rad],collision,apparent_wind_speed [m/s],apparent_wind_direction [rad],apparent_wind_speed_hat [m/s],apparent_wind_direction_hat [rad]
0.9999999999999999,0.1005925847267263,0.10236284460828136,-10.000013748819903,-3.0718497815570016e-05,-3.5332234357525683e-06,-8.116999573601338e-06,0.0,10.0,0.20632316729994796,1.471476470844746,0.0,10.0,0.11786944601418599,0.10238842013278301,-9.967608751978302,-0.006080338962161978,0.0023294448461344606,0.0002866779521747135,0.0,10.0,0.20632316729994796,1.471476470844746,0,0.22106972166881922,1.9503383625226,0.22106972166881922,1.9503383625226
1.0999999999999999,0.11082886917663701,0.10275995630943176,-10.000016856836766,-3.391903099481426e-05,-4.344923393112702e-06,-9.028555153898645e-06,0.0,10.0,0.20566880243635288,1.46499433545301,0.0,10.0,0.12606954967073106,0.1019207363606114,-9.99860679127229,-0.004082998950134565,-0.0005414188526539751,0.00149640123878128,0.0,10.0,0.20566880243635288,1.46499433545301,0,0.22002162114208523,1.9480117780556474,0.22002162114208523,1.9480117780556474
1.2,0.12110486479274563,0.10315678660424117,-10.000020293388278,-3.709876223780887e-05,-5.247778908502567e-06,-9.937794525110793e-06,0.0,10.0,0.2075065289120814,1.4743773025347484,0.0,10.0,0.15727376157604445,0.10494552674259124,-10.022069157730302,-0.0020444564383094907,-0.0016244831844020625,-0.002927559127571117,0.0,10.0,0.2075065289120814,1.4743773025347484,0,0.2226979799370165,1.9535928994603984,0.2226979799370165,1.9535928994603984
1.3,0.13142054343355908,0.10355335338001272,-10.000024057398903,-4.0314555863669615e-05,-6.241558361013646e-06,-1.080826864757582e-05,0.0,10.0,0.2071533239585122,1.4767873748553224,0.0,10.0,0.08498715039441904,0.11411368296633262,-10.004779551370785,0.00036504647217896395,0.001242099931241228,-0.0009957231262564589,0.0,10.0,0.2071533239585122,1.4767873748553224,0,0.22276754825509398,1.9579606806853522,0.22276754825509398,1.9579606806853522
1.4000000000000001,0.14177587874619607,0.10394965139351914,-10.00002815348792,-4.3510020453269885e-05,-7.322385225771228e-06,-1.1651835701725702e-05,0.0,10.0,0.20864424670019308,1.4787112565062779,0.0,10.0,0.12044610324506579,0.10895338068179347,-10.021890931645173,0.0022895714636108067,0.0004027707643100303,0.0021445182976492236,0.0,10.0,0.20864424670019308,1.4787112565062779,0,0.2244273122164495,1.9581030286202867,0.2244273122164495,1.9581030286202867
1.5000000000000002,0.1521708438534096,0.10434567360774616,-10.000032580605904,-4.673836768251978e-05,-8.487568795943798e-06,-1.24768769297653e-05,0.0,10.0,0.2103225901450651,1.4772420458352462,0.0,10.0,0.13621676412965808,0.09924252210070043,-9.956299074027356,0.00027204156574420663,-0.0010097342054931234,-0.0034288877139604574,0.0,10.0,0.2103225901450651,1.4772420458352462,0,0.22592745437693132,1.9550821756914605,0.22592745437693132,1.9550821756914605
1.6000000000000003,0.16260541117413885,0.10474141312440578,-10.000037343006781,-5.0008416860978055e-05,-9.735256488920329e-06,-1.3294098397816518e-05,0.0,10.0,0.2110218518681845,1.4983682832756682,0.0,10.0,0.14171611226550795,0.10972407670352921,-9.961158613638416,-0.022906708647534933,0.004024051715049615,-0.0019954776226255868,0.0,10.0,0.2110218518681845,1.4983682832756682,0,0.2287434189801882,1.9726768265892116,0.2287434189801882,1.9726768265892116
1.7000000000000004,0.17307955243739861,0.1051369110923621,-10.00004244581692,-5.3269071006234964e-05,-1.106466632870198e-05,-1.4030279148395638e-05,0.0,10.0,0.21151097849883518,1.5137999151320658,0.0,10.0,0.1926112560385776,0.10816672046887144,-10.003809324497835,-0.007804319824010554,0.0010183497280741411,-0.0033676858506409774,0.0,10.0,0.21151097849883518,1.5137999151320658,0,0.2308248250583102,1.9859107147700634,0.2308248250583102,1.9859107147700634
1.8000000000000005,0.1835932434870508,0.10553215783759246,-10.000047889054505,-5.6518654753470066e-05,-1.2467694243541545e-05,-1.4701885346140491e-05,0.0,10.0,0.21009153541138267,1.5244897210859656,0.0,10.0,0.21301926020659437,0.10630533506324083,-10.004603060544458,0.0054899635396120795,0.0011096122022586977,-0.00044999999395572477,0.0,10.0,0.21009153541138267,1.5244897210859656,0,0.23075340902491956,1.998962820545192,0.23075340902491956,1.998962820545192
1.9000000000000006,0.1941464591995241,0.10592714965738874,-10.000053672494248,-5.9706909066426716e-05,-1.3937882778155594e-05,-1.531932604654519e-05,0.0,10.0,0.21130450691453065,1.5422741514603204,0.0,10.0,0.2334847284123242,0.09212242585306146,-9.923671000222672,-0.014500820103803722,0.0003568584267707595,-0.001947418632005175,0.0,10.0,0.21130450691453065,1.5422741514603204,0,0.23370785475322045,2.0124931605305902,0.23370785475322045,2.0124931605305902
2.0000000000000004,0.2047391740810153,0.10632189101952008,-10.000059790825174,-6.290009431022206e-05,-1.5469815382810113e-05,-1.5866851719174698e-05,0.0,10.0,0.2115879262957582,1.505816585810263,0.0,10.0,0.22898041737389674,0.10887463621572645,-10.061660019078271,0.01508895418491457,-0.0002772396708783224,-0.0013381673536616591,0.0,10.0,0.2115879262957582,1.505816585810263,0,0.2306067823169539,1.9839375096701166,0.2306067823169539,1.9839375096701166
2.1000000000000005,0.2153713630843898,0.10671629218614515,-10.000066245312608,-6.613721993974996e-05,-1.7056500554727585e-05,-1.6513379215483463e-05,0.0,10.0,0.21205294785354628,1.5012261297631897,0.0,10.0,0.1884236446338691,0.09527873085169142,-9.975769580094276,0.0009699016594618137,-0.0013353559103544477,-0.0010326235205064354,0.0,10.0,0.21205294785354628,1.5012261297631897,0,0.230732392002351,1.9808301099808692,0.230732392002351,1.9808301099808692
2.2000000000000006,0.22604299218864504,0.10711040584433275,-10.00007304105525,-6.938474071154569e-05,-1.870783847627593e-05,-1.7158059016604155e-05,0.0,10.0,0.21250437006702466,1.5035661217413203,0.0,10.0,0.27190155517487036,0.10064336863862211,-10.03295022975586,-0.005112143647578535,0.00028346351062666993,-0.00037313514907567577,0.0,10.0,0.21250437006702466,1.5035661217413203,0,0.2315228224050284,1.9833939996806556,0.2315228224050284,1.9833939996806556
2.3000000000000007,0.23675403264140013,0.10750424345044865,-10.000080179909737,-7.263454044796512e-05,-2.0423644377936346e-05,-1.7779030556106365e-05,0.0,10.0,0.21194081791201425,1.4895028661085634,0.0,10.0,0.2588929434873952,0.10468643768470395,-10.009400473530963,0.004926509179329224,0.0006798429722946715,-0.0020198697079145127,0.0,10.0,0.21194081791201425,1.4895028661085634,0,0.22979839748652484,1.9746283234708841,0.22979839748652484,1.9746283234708841
2.400000000000001,0.24750445683585665,0.10789777886890978,-10.000087662926624,-7.587487259097201e-05,-2.2201547433546983e-05,-1.8424304297415074e-05,0.0,10.0,0.21041891766586246,1.493039688366476,0.0,10.0,0.23185832509760929,0.09811982001526107,-10.041133030970837,0.012298093152190725,-0.0008162522484319391,0.00032767689484608856,0.0,10.0,0.21041891766586246,1.493039688366476,0,0.228962271455374,1.9821823304719572,0.228962271455374,1.9821823304719572
2.500000000000001,0.25829423455163447,0.10829104514940317,-10.000095489963647,-7.905895936224632e-05,-2.404397786328849e-05,-1.9035265706152488e-05,0.0,10.0,0.21088408052300897,1.4941221643235587,0.0,10.0,0.2964396788399381,0.1138408804637467,-10.039174717669347,-0.0018388965968825434,-0.00030494483765186007,-0.00024086068498877064,0.0,10.0,0.21088408052300897,1.4941221643235587,0,0.22964065450930385,1.9836739531539531,0.22964065450930385,1.9836739531539531
2.600000000000001,0.2691233388733554,0.10868403154337011,-10.00010365623433,-8.224716405541357e-05,-2.594750443390374e-05,-1.9626831539923115e-05,0.0,10.0,0.21064444710790156,1.4978734098241793,0.0,10.0,0.23155958661199288,0.12682590049151835,-9.9819108783735,-0.005503660372134928,0.0034750352438579716,-0.002775303765782557,0.0,10.0,0.21064444710790156,1.4978734098241793,0,0.22996317269764338,1.988760827014618,0.22996317269764338,1.988760827014618
2.700000000000001,0.2799917418106228,0.1090767442504852,-10.000112162958672,-8.541615950878748e-05,-2.791018758789605e-05,-2.0188403891372604e-05,0.0,10.0,0.21200604383170232,1.4877906153441314,0.0,10.0,0.30071994338637953,0.11113469724996868,-10.0191337951643,0.0007631478921161403,-0.002179480916907653,0.0013685550218984642,0.0,10.0,0.21200604383170232,1.4877906153441314,0,0.23031953858754622,1.979365223549442,0.23031953858754622,1.979365223549442
2.800000000000001,0.2908994159930248,0.10946915381753425,-10.00012100900986,-8.862730608490054e-05,-2.9929027977033312e-05,-2.0768391395200116e-05,0.0,10.0,0.2127727372718436,1.4811617658900973,0.0,10.0,0.3459878572053254,0.12296832911929381,-10.050861840440495,0.0011223769127738374,-0.0003390293429167573,0.003683614139281558,0.0,10.0,0.2127727372718436,1.4811617658900973,0,0.23048804073585835,1.9739684224037959,0.23048804073585835,1.9739684224037959
2.9000000000000012,0.3018463311046225,0.10986126727959193,-10.000130199371,-9.185938114806533e-05,-3.200586711655333e-05,-2.1353834684688683e-05,0.0,10.0,0.21247495048420664,1.4780386266779002,0.0,10.0,0.2737269515622225,0.11213262522117792,-10.017161618729189,-0.008923156026840672,0.0025779969812807077,0.0001901108425091158,0.0,10.0,0.21247495048420664,1.4780386266779002,0,0.23006788379501264,1.973605589700781,0.23006788379501264,1.973605589700781
3.0000000000000013,0.3128324575329508,0.11025309364169954,-10.000139736929622,-9.507740621799914e-05,-3.41412505850222e-05,-2.192946043152574e-05,0.0,10.0,0.21201487356475357,1.461817448396281,0.0,10.0,0.27292748020256774,0.12101725386980258,-10.005476347740169,-0.006025169467318658,0.0002395904900504871,-0.001058786458406542,0.0,10.0,0.21201487356475357,1.461817448396281,0,0.22817312570464976,1.9629394040374166,0.22817312570464976,1.9629394040374166
3.1000000000000014,0.3238577665660889,0.11064460955341553,-10.000149621088088,-9.828914195202187e-05,-3.633419662817477e-05,-2.2534382486815676e-05,0.0,10.0,0.2119280623404559,1.453773060317626,0.0,10.0,0.28884682759700275,0.11674787090711622,-10.005987413309649,0.003718224689430547,-0.0028987427694723935,-0.0007362267649574938,0.0,10.0,0.2119280623404559,1.453773060317626,0,0.2274274433578199,1.958149933894662,0.2274274433578199,1.958149933894662
3.2000000000000015,0.33492222715700126,0.11103582782196152,-10.000159852020577,-0.00010149703931299801,-3.8587634876856336e-05,-2.3144409027544166e-05,0.0,10.0,0.21219789719436513,1.4499913660656554,0.0,10.0,0.3725294133082135,0.11055133653633145,-10.063258421110582,-0.0131062399679571,-0.00016969370155894823,0.00033039769709881884,0.0,10.0,0.21219789719436513,1.4499913660656554,0,0.22742604660970042,1.956079928643469,0.22742604660970042,1.956079928643469
3.3000000000000016,0.3460258095392777,0.11142675428669724,-10.000170430185499,-0.0001047075682069169,-4.090207577961075e-05,-2.374814332981988e-05,0.0,10.0,0.21259956820398565,1.4530163768206374,0.0,10.0,0.3564816155537033,0.11835749668336518,-9.998980385232029,-0.008199086975224684,0.0021527762427504637,0.0017672767106530535,0.0,10.0,0.21259956820398565,1.4530163768206374,0,0.2282395562267793,1.9592773413213138,0.2282395562267793,1.9592773413213138
3.4000000000000017,0.357168484530351,0.1118174002504129,-10.000181356700866,-0.00010791859036788798,-4.327689011259274e-05,-2.432564446354209e-05,0.0,10.0,0.2127718574095001,1.4563471184144394,0.0,10.0,0.3679472936527735,0.0939529942947173,-10.002978113174814,-0.00299870862015518,0.0007245368867233795,0.0006434790887174064,0.0,10.0,0.2127718574095001,1.4563471184144394,0,0.22888577510249758,1.9631989711084656,0.22888577510249758,1.9631989711084656
3.5000000000000018,0.3683502240778831,0.11220776659749461,-10.000192632470826,-0.00011112300276554926,-4.570945455894695e-05,-2.4874915797987086e-05,0.0,10.0,0.21121553000148405,1.4608051490080818,0.0,10.0,0.35636659600252957,0.10938396335842147,-9.965725002216173,0.011088043901521228,-0.0004786871574730767,0.0030472756424632856,0.0,10.0,0.21121553000148405,1.4608051490080818,0,0.22814102311334739,1.971700855755952,0.22814102311334739,1.971700855755952
3.600000000000002,0.3795710002179733,0.1125978609338344,-10.000204257666672,-0.00011426885427912515,-4.819694613874566e-05,-2.5384438779194506e-05,0.0,10.0,0.21016549779011778,1.4500831731115498,0.0,10.0,0.408934487673612,0.09327945769104373,-9.947930770545042,0.006990507667505885,-0.000641788799454802,0.002827630531264619,0.0,10.0,0.21016549779011778,1.4500831731115498,0,0.2262708151876622,1.9668925095972805,0.2262708151876622,1.9668925095972805
3.700000000000002,0.3908307857475378,0.11298765375155828,-10.00021622723939,-0.00011738509419897607,-5.073539001666511e-05,-2.590227288839837e-05,0.0,10.0,0.20931838980888948,1.435973410507943,0.0,10.0,0.3537695788856874,0.13233360469351507,-9.998102492656486,-0.002312372291955588,0.0012835710920186213,0.0009157758620254313,0.0,10.0,0.20931838980888948,1.435973410507943,0,0.2242176588285457,1.958953670948153,0.2242176588285457,1.958953670948153
