t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],true_wind_speed [m/s],true_wind_direction [rad],delta_rudder [rad],n_prop [rps],x_position_mid_hat [m],u_velo_hat [m/s],y_position_mid_hat [m],vm_velo_hat [m/s],psi_hat [rad],r_angvelo_hat [rad/s],true_wind_speed_hat [m/s],true_wind_direction_hat [rad],collision,apparent_wind_speed [m/s],apparent_wind_direction [rad],apparent_wind_speed_hat [m/s],apparent_wind_direction_hat [rad]
30.800000000000168,4.824663715069507,0.20849993657478738,0.0004459140089242225,-5.580145090326427e-05,0.0006909025272842667,3.547302942045793e-05,0.22214881005223658,2.985227824602763,0.0,10.0,4.844441254600075,0.19804383359700362,0.004211481091453622,0.007080009230334017,-0.0013174396155144347,0.0014162170306033087,0.22214881005223658,2.985227824602763,0,0.4293274589806163,3.0604412742045626,0.4293274589806163,3.0604412742045626
30.90000000000017,4.845513707605988,0.20880028239087034,0.00045473917733148604,-5.582028850949633e-05,0.0006944498302263125,3.5468450810044825e-05,0.22368146809511924,2.9890248243200697,0.0,10.0,4.8484540092006005,0.21412248955724902,-0.022038252695459754,0.010614724192552927,0.004026243468319756,-0.00016126861491299279,0.22368146809511924,2.9890248243200697,0,0.43121846258315294,3.0621905184715694,0.43121846258315294,3.0621905184715694
31.00000000000017,4.866393734686707,0.20910028038707812,0.0004636572807268135,-5.583762352285926e-05,0.000697996675307317,3.546704951797414e-05,0.22397191296707628,2.983844762500505,0.0,10.0,4.85383127349376,0.20395695809028191,-0.024231550463968847,0.010395710544923817,0.0001754195597233522,-0.00020195138647132846,0.22397191296707628,2.983844762500505,0,0.43172004256496854,3.059514603347768,0.43172004256496854,3.059514603347768
31.100000000000172,4.8873037615291866,0.20939992936995425,0.0004726686486012081,-5.5860258583551554e-05,0.0007015433802591145,3.546806774279962e-05,0.22407642869458239,2.971236063596811,0.0,10.0,4.917536498809367,0.21810608931365127,0.041960835418087795,-0.01439756896459798,0.001107104832933646,0.0023797730387158525,0.22407642869458239,2.971236063596811,0,0.43189859332397745,3.0530318671501457,0.43189859332397745,3.0530318671501457
31.200000000000173,4.9082437532320755,0.2096992291594777,0.00048177293634008755,-5.5896011935522674e-05,0.0007050901870333944,3.547370817582434e-05,0.2220065835869856,2.9645233805108124,0.0,10.0,4.872493182021145,0.21039730781534632,0.011408069076336281,0.0019237703810138242,-3.093056783666547e-05,0.0008677814582187349,0.2220065835869856,2.9645233805108124,0,0.43000799125582817,3.050035282590991,0.43000799125582817,3.050035282590991
31.300000000000175,4.929213674876575,0.2099981773900994,0.0004909690221817352,-5.593483887821126e-05,0.0007086375578509768,3.5473503476650674e-05,0.22083439395668064,2.978957197950309,0.0,10.0,4.927892068490521,0.19053656264036029,-0.0042720959270690344,0.004090205237823595,-0.003766820676048885,0.00444826988395908,0.22083439395668064,2.978957197950309,0,0.42940206526549773,3.0577320251488036,0.42940206526549773,3.0577320251488036
31.400000000000176,4.950213491306628,0.21029677517408019,0.0005002567980107538,-5.595571531578206e-05,0.0007121849081986419,3.5464061270582484e-05,0.22002641430747105,2.954877782209615,0.0,10.0,4.983762049106976,0.22643226561464252,0.0328830248936331,0.0028585313784449777,0.0004192903923562227,0.003277046963355341,0.22002641430747105,2.954877782209615,0,0.42844129991364804,3.0456240305253917,0.42844129991364804,3.0456240305253917
31.500000000000178,4.971243167475914,0.210595022635068,0.0005096382455843396,-5.6001201773916776e-05,0.0007157313143257001,3.545843998169011e-05,0.22094296577521066,2.9324392046200622,0.0,10.0,5.00474860087754,0.22292740266085162,-0.052888989220836395,-0.016437017748573004,0.0029854760523019457,-8.082907835087373e-05,0.22094296577521066,2.9324392046200622,0,0.42917165606900637,3.034002808896209,0.42917165606900637,3.034002808896209
31.60000000000018,4.9923026683535126,0.21089292111246227,0.0005191110707885369,-5.60755633790198e-05,0.000719277158323869,3.5462380048971535e-05,0.22018020770517852,2.925975538896005,0.0,10.0,5.025575740671328,0.20787325938848705,-0.03357582105337887,0.005723460505095001,0.0004207120494929906,0.00021141718618832947,0.22018020770517852,2.925975538896005,0,0.42856109231095846,3.0309548445824275,0.42856109231095846,3.0309548445824275
31.70000000000018,5.013391959042772,0.21119046917487172,0.0005286725606940603,-5.615645122007123e-05,0.0007228233963287662,3.5464468520513366e-05,0.22029100195565532,2.8998911923781394,0.0,10.0,5.013397352191358,0.21027749924641384,0.00938567775311424,0.0028712290509972497,0.0011604372983859187,0.00012687137809312395,0.22029100195565532,2.8998911923781394,0,0.4283239550747085,3.0176812886864255,0.4283239550747085,3.0176812886864255
