BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
,4,,2,3,,来島海峡航路第１０号灯浮標,Kurushima-Kaikyo Traffic Route No.10,34.0844917,133.0381
,4,,2,3,,ワンワン瀬灯浮標,Wanwan Se Lt Buoy,34.2318639,133.1404472
,4,,2,3,,備前大畠沖灯浮標,Bizen-Obatake Offing Lt Buoy,34.4363,133.8214917
,4,,2,3,,園ノ洲灯浮標,So-no Su Lt Buoy,34.3801944,133.7323333
,4,,1,4,,備讃瀬戸南航路第５号灯浮標,Bisan-Seto S Traffic Route No.5,34.3140333,133.7020611
,4,,1,4,,琴浦港第１号灯浮標,Kotoura Ko No.1,34.4596333,133.8564861
,4,,1,4,,琴浦港沖灯浮標,Kotoura Ko Offing Lt Buoy,34.4621306,133.8358333
,4,,2,3,,琴浦港第２号灯浮標,Kotoura Ko No.2,34.4688056,133.8362222
,4,,1,4,,備讃瀬戸北航路第９号灯浮標,Bisan-Seto N Traffic Route No.9,34.3682528,133.764691699999
,4,,2,3,,備讃瀬戸南航路第１０号灯浮標,Bisan-Seto S Traffic Route No.10,34.3549222,133.8126056
,4,,2,3,,坂出番の州泊地第２号灯浮標,Sakaide Bannosu Hakuchi No.2,34.36145,133.8413528
,4,,1,4,,坂出番の州泊地第１号灯浮標,Sakaide Bannosu Hakuchi No.1,34.362,133.8473333
,4,,1,4,,水島航路第３号灯浮標,Mizushima Traffic Route No.3,34.3663083,133.8021056
,4,,2,3,,水島航路第４号灯浮標,Mizushima Traffic Route No.4,34.3700306,133.8116056
,4,,1,4,,水島航路第５号灯浮標,Mizushima Traffic Route No.5,34.3854722,133.7984389
,4,,2,3,,水島航路第６号灯浮標,Mizushima Traffic Route No.6,34.3875,133.8056611
,4,,1,4,,水島航路第７号灯浮標,Mizushima Traffic Route No.7,34.4045806,133.7903278
,4,,2,3,,水島航路第８号灯浮標,Mizushima Traffic Route No.8,34.4071361,133.7976611
,4,,1,4,,水島航路第９号灯浮標,Mizushima Traffic Route No.9,34.4231917,133.7792722
,4,,2,3,,水島航路第１０号灯浮標,Mizushima Traffic Route No.10,34.4263278,133.7853833
,4,,2,3,,笠岡港口第２号灯浮標,Kasaoka Ko-guchi No.2,34.4562083,133.5349611
,4,,2,3,,宇多津港灯浮標,Utazu Ko Lt Buoy,34.3237583,133.8162167
,4,,1,4,,丸亀港灯浮標,Marugame Ko Lt Buoy,34.3052583,133.7715
,4,,1,4,,詫間港第１号灯浮標,Takuma Ko No.1,34.2477083,133.6784528
,4,,1,4,,布刈岩灯浮標,Mekari Iwa Lt Buoy,34.3646278,133.17405
,4,,2,3,,細ノ州北西方灯浮標,Hoso-no Su Northwestward Lt Buoy,34.3725356,133.1236776
,4,,2,3,,瀬戸田水道南口灯浮標,Setoda Suido South Entrance Lt Buoy,34.2985051,133.0743598
,4,,2,3,,城出シ磯北西方灯浮標,Shirodashi Iso Northwestward Lt Buoy,34.3751889,133.4512472
,4,,2,3,,詫間港第２号灯浮標,Takuma Ko No.2,34.2474861,133.6773417
,4,,,"3,1",2,備讃瀬戸東航路中央第１灯浮標,Bisan-Seto E Traffic Route Center No.1,34.3915861,133.8773194
,4,,,"3,1",2,備讃瀬戸東航路中央第２号灯浮標,Bisan-Seto E Traffic Route No.2,34.4111667,133.9424528
,4,,,"3,1",2,薑鼻北東方灯浮標,Hajikami Hana Northeastward Lt Buoy,34.4071361,133.7165
,4,,,"3,1",2,備後灘航路第７号灯浮標,Bingo-Nada Passage No.7,34.2857556,133.5454083
,4,,,"3,1",2,仙酔島南方灯浮標,Sensui Shima Southward Lt Buoy,34.3549111,133.395975
,4,,,"3,1",2,走島東方灯浮標,Hashiri Shima Toho Lt Buoy,34.3349167,133.4779139
,4,,,"3,1",2,備後灘航路第６号灯浮標,Bingo-Nada Passage No.6,34.2688139,133.4831917
,4,,,"3,1",2,備後灘航路第５号灯浮標,Bingo-Nada Passage No.5,34.2526944,133.4229444
,4,,,"3,1",2,備後灘航路第４号灯浮標,Bingo-Nada Passage No.4,34.2315917,133.3373722
,4,,,"3,1",2,新居浜東航路第１号灯浮標,Niihama E Passage No.1,34.1874306,133.4215333
,4,,,"3,1",2,新居浜港東航路第２号灯浮標,Niihama E Passage No.2,34.1077167,133.3593194
,4,,,"3,1",2,備後灘航路第３号灯浮標,Bingo-Nada Passage No.3,34.2102028,133.2532139
,4,,,"3,1",2,備後灘航路第２号灯浮標,Bingo-Nada Passage No.2,34.1763333,133.191555599999
,4,,,"3,1",2,新居浜東航路第３号灯浮標,Niihama E Passage No.3,34.0443889,133.311825
,4,,,"3,1",2,備後灘航路第１号灯浮標,Bingo-Nada Passage No.1,34.1335417,133.1157306
,4,,,"3,1",2,竪場島灯浮標,Tateba Shima Lt Buoy,34.4307472,133.8542667
,4,,,"3,1",2,直島北西方灯浮標,Naoshima,34.4801056,133.9617
3,,,,"2,3,2",1,讃岐水ノ子礁灯標,Sanuki-Mizu-no-Ko Sho Lt Beacon,34.49687,134.4097979
3,,,2,3,,大串埼沖灯標,Okushi Saki Offing Lt Beacon,34.3702056,134.2111806
3,,,2,3,,カナワ岩灯標,Kanawa Iwa Lt Beacon,34.4216056,134.130125
,,,,,,,,34.460591,134.3218158
,4,2,,"2,6,2",1,稲木出シ灯浮標,Inagi Dashi Lt Buoy,34.379425,134.0839694
,4,2,,"2,6,2",1,カマ瀬東ノ州灯浮標,Kama Se Higashi-no Su Lt Beacon,34.3802833,134.0273917
,4,3,,"6,2",1,カマ瀬中ノ州灯浮標,Kama Se Naka-no Su Lt Beacon,34.3838213,134.0034477
,4,,2,3,,百尋磯灯浮標,Hyakuhiro Iso Lt Buoy,34.4660278,134.1384056
,4,,2,3,,豊島甲埼沖灯浮標,Teshima Ko Saki Offing Lt Buoy,34.4915778,134.0381361
,4,,1,4,,土庄東港灯浮標,Tonosho-Higashi-Ko Lt Buoy,34.4679722,134.1814583
,4,,2,3,,沖ノハナゲ西灯浮標,Oki-no-Hanage W Lt Buoy,34.4442278,134.2722833
,4,,2,3,,地ノハナゲ西灯浮標,Ji-no-Hanage W Lt Buoy,34.4518639,134.2753389
,4,,2,3,,高松東航路灯浮標,Takamatsu E Passage Lt Buoy,34.3999222,134.1214639
,4,,1,4,,直島漁協角埼沖のり養殖漁場Ａ灯浮標,A,34.4548611,134.0197222
,4,,1,4,,直島漁協角埼沖のり養殖漁場Ｂ灯浮標,B,34.4644444,134.0229167
,4,,2,3,,小豆島西航路第２号灯浮標,Shodoshima W Passage No.2 Lt Buoy,34.4754694,134.1331278
,4,,1,4,,土庄港灯浮標,Tonosyo Ko Lt Buoy,34.4963028,134.1672917
,4,,,"3,1",2,播磨灘航路第２号灯浮標,Harima Nada Koro No.2 Lt Buoy,34.4324336,134.4406296
,4,,,"3,1",2,播磨灘航路第１号灯浮標,Harima Nada Koro No.1 Lt Buoy,34.4003982,134.347625599999
,4,,,"3,1",2,備讃瀬戸東航路中央第６号灯浮標,Bisan Seto E Traffic Route Center No.6,34.4202,134.1720167
,4,,,"3,1",2,備讃瀬戸東航路中央第７号灯浮標,Bisan-Seto E Traffic Route Center No.7 Lt Buoy,34.4017267,134.2229167
,4,,,"3,1",2,播磨灘北航路第１号灯浮標,Harima-Nada N Passage No.1 Lt Buoy,34.4618583,134.02675
,4,,,"3,1",2,備讃瀬戸東航路中央第４号灯浮標,Bisan-Seto E Traffic Route Center No.4 Lt Buoy,34.4447778,134.0591083
,4,,,"3,1",2,備讃瀬戸東航路中央第３号灯浮標,Bisan-Seto E Traffic Route Center No.3 Lt Buoy,34.4260278,134.0156972
,4,,,"3,1",2,高松中航路灯浮標,Takamatsu Center Passage Lt Buoy,34.3885333,134.0728583
,4,,,"3,1",2,備讃瀬戸東航路中央第５号灯浮標,Bisan Seto E Traffic Route Center No.5,34.4376972,134.107852799999
,4,,,"3,1",2,高松港灯浮標,Takamatsu Ko Lt Buoy,34.3656111,134.0535
,4,,,6,,,,34.2321608,134.4348094
