t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],true_wind_speed [m/s],true_wind_direction [rad],delta_rudder_p [rad],delta_rudder_s [rad],n_prop [rps],n_bt [rps],x_position_mid_hat [m],u_velo_hat [m/s],y_position_mid_hat [m],vm_velo_hat [m/s],psi_hat [rad],r_angvelo_hat [rad/s],true_wind_speed_hat [m/s],true_wind_direction_hat [rad],collision,apparent_wind_speed [m/s],apparent_wind_direction [rad],apparent_wind_speed_hat [m/s],apparent_wind_direction_hat [rad]
122.6999999999973,27.824559662465315,0.2840845842455183,32.64420916369504,0.09411246263506859,0.6801548982172728,-0.07102726641197243,0.24144003187934837,2.899464120479241,-0.5235987755982988,-0.5235987755982988,10.0,0.0,27.823210076898214,0.28115444941189605,32.60996687917556,0.0887036322477545,0.6822442902744266,-0.06725044395843967,0.24144003187934837,2.899464120479241,0,0.4410122724946725,2.9167823027518085,0.4410122724946725,2.9167823027518085
122.7999999999973,27.84072767803903,0.2834101949005317,32.669392637218365,0.09400483686353422,0.6730521715760756,-0.07102296306138597,0.2423696819181691,2.8797974523767165,-0.5235987755982988,-0.5235987755982988,10.0,0.0,27.816914510732428,0.2981536326426012,32.67201053877649,0.10351043997856023,0.6697282536270404,-0.0724199256467993,0.2423696819181691,2.8797974523767165,0,0.43913242466928926,2.9095543772440573,0.43913242466928926,2.9095543772440573
122.89999999999729,27.857028132706084,0.28274056226567085,32.69441018419884,0.09389687232271823,0.665949875269937,-0.07101866612001703,0.24314185110593522,2.8818919582422744,-0.5235987755982988,-0.5235987755982988,10.0,0.0,27.906692475129816,0.28390168350264144,32.67117148305861,0.09876540218516544,0.6680556799191966,-0.07050220107692999,0.24314185110593522,2.8818919582422744,0,0.44053327373687867,2.9117215035061066,0.44053327373687867,2.9117215035061066
122.99999999999729,27.873459871668334,0.2820757749181133,32.71926147061422,0.09378887971904137,0.6588480086579352,-0.07101428381728522,0.24463490110575856,2.889794583462958,-0.5235987755982988,-0.5235987755982988,10.0,0.0,27.88402021928614,0.28634506145316857,32.737317621140114,0.11094151651961694,0.6602485476595253,-0.07163082418276306,0.24463490110575856,2.889794583462958,0,0.4433911257373885,2.915378105695292,0.4433911257373885,2.915378105695292
123.09999999999728,27.890021732062884,0.28141584217648646,32.74394619762948,0.09368092350450598,0.6517465802762067,-0.07100978887922818,0.24273993594982224,2.9010525043374926,-0.5235987755982988,-0.5235987755982988,10.0,0.0,27.922946651567898,0.29503437626142043,32.814511488117844,0.08767942897440198,0.6489839980215552,-0.06917118674716972,0.24273993594982224,2.9010525043374926,0,0.4441117918319698,2.925338248677998,0.4441117918319698,2.925338248677998
123.19999999999727,27.906712552220082,0.2807607222812187,32.768464077616244,0.09357320906949103,0.6446456013882839,-0.07100522078622803,0.24080867748096793,2.8992241389067592,-0.5235987755982988,-0.5235987755982988,10.0,0.0,27.90568082876895,0.2638963943379566,32.724623342542046,0.09143729917550814,0.64301483017867,-0.07292530523015499,0.24080867748096793,2.8992241389067592,0,0.4427846945197805,2.929753827776906,0.4427846945197805,2.929753827776906
123.29999999999727,27.92353115920956,0.28011032049691803,32.79281484239372,0.09346557969314076,0.6375450793096611,-0.07100064468282147,0.24116817460526738,2.9042051562635542,-0.5235987755982988,-0.5235987755982988,10.0,0.0,27.93378527973022,0.27607646167871835,32.8756874656693,0.08183750700677457,0.636485305000939,-0.0683030182436438,0.24116817460526738,2.9042051562635542,0,0.4442631748526068,2.933847550905812,0.4442631748526068,2.933847550905812
123.39999999999726,27.940476386633176,0.2794646618688853,32.81699821126417,0.09335804358916766,0.6304450148413789,-0.0709960077455876,0.2394549550340331,2.9199248848279913,-0.5235987755982988,-0.5235987755982988,10.0,0.0,27.957955197639563,0.27011728591713857,32.822266341300484,0.07933589763729919,0.6328856274989391,-0.07270196524009194,0.2394549550340331,2.9199248848279913,0,0.44566945144524767,2.945409042635623,0.44566945144524767,2.945409042635623
123.49999999999726,27.957547074220873,0.2788237474839988,32.841013911142504,0.09325083232299888,0.6233454140668202,-0.07099130336389156,0.23992095342576236,2.9007911066449616,-0.5235987755982988,-0.5235987755982988,10.0,0.0,27.94272918266356,0.27926949467894574,32.835483185576535,0.09910978936864599,0.6254912709896728,-0.07034990270134729,0.23992095342576236,2.9007911066449616,0,0.4436651607937329,2.9391165534249684,0.4436651607937329,2.9391165534249684
123.59999999999725,27.974742052780638,0.27818740987856494,32.86486169324543,0.09314343372260857,0.616246283730431,-0.070986647103906,0.2405721698481167,2.899927316707717,-0.5235987755982988,-0.5235987755982988,10.0,0.0,27.974086258638728,0.2939223571828742,32.88527642456149,0.10151197606032752,0.6178436049350359,-0.06912336154692701,0.2405721698481167,2.899927316707717,0,0.44449554061032986,2.9403607840158728,0.44449554061032986,2.9403607840158728
