t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],delta_rudder_p [rad],delta_rudder_s [rad],n_prop [rps],n_bt [rps],true_wind_speed [m/s],true_wind_direction [rad],delta_rudder_p_cmd [rad],delta_rudder_s_cmd [rad],n_prop_cmd [rps],n_bt_cmd [rps],x_position_mid_hat [m],u_velo_hat [m/s],y_position_mid_hat [m],vm_velo_hat [m/s],psi_hat [rad],r_angvelo_hat [rad/s],delta_rudder_p_hat [rad],delta_rudder_s_hat [rad],n_prop_hat [rps],n_bt_hat [rps],true_wind_speed_hat [m/s],true_wind_direction_hat [rad],collision,apparent_wind_speed [m/s],apparent_wind_direction [rad],apparent_wind_speed_hat [m/s],apparent_wind_direction_hat [rad]
208.09999999999246,0.00650938012584556,-0.0025700181503802246,-0.037831609470409346,0.0006845103366741086,-0.006189485947396012,-0.0006443149711544937,-1.3951101956058858,1.282496944630307,10.0,0.2104999982254756,0.1757560632387746,2.9264315812166046,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.011250782627272804,0.023398218875922364,0.021756176284794385,-0.004623341988271498,-0.009814889618329315,-0.0005920124255036287,-1.3951101956058858,1.282496944630307,10.0,0.2104999982254756,0.1757560632387746,2.9264315812166046,0,0.1731000057972854,2.9334093872481684,0.1731000057972854,2.9334093872481684
208.19999999999246,0.006252806907633519,-0.0025101001676671925,-0.03776156904894223,0.0006724194662379072,-0.006253917444511462,-0.0006227538873135653,-1.4300167806457724,1.2748719773129262,10.0,-1.7895000017745244,0.17460629023437946,2.9491104120219944,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,-0.03245836139928746,0.0031083765422605784,-0.02665584932390119,-0.007837763960435049,-0.008646586418452454,-0.0015775277309314916,-1.4300167806457724,1.2748719773129262,10.0,-1.7895000017745244,0.17460629023437946,2.9491104120219944,0,0.17201520151189453,2.9565039880533623,0.17201520151189453,2.9565039880533623
208.29999999999245,0.006002222322379623,-0.002464645118828707,-0.03769275863159051,0.0006359175392500651,-0.0063161928332428185,-0.0005580680201623712,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.17265455574313,2.938824043706491,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,-0.020004020542244483,0.006453373665869124,-0.03782550590390561,-0.008474967251037567,-0.006756038664680104,0.003005855948951262,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.17265455574313,2.938824043706491,0,0.17011325182277723,2.945978552909846,0.17011325182277723,2.945978552909846
208.39999999999245,0.005756164381853756,-0.0024091137324773024,-0.03762761143910235,0.0005821429797523508,-0.006371999635259056,-0.0004613300759257348,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.17293978711301947,2.949685622790048,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.008622060530978625,0.021681578089834206,-0.03560819017602914,-0.008079047893645367,-0.004270025417137205,0.0008672334847113677,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.17293978711301947,2.949685622790048,0,0.17046467787240682,2.9568069686452616,0.17046467787240682,2.9568069686452616
208.49999999999244,0.005515628838352247,-0.0023535875130731554,-0.03756786324614817,0.000528447218864935,-0.00641813264285163,-0.0003646525904801246,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.17145528303135998,2.942354555618284,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.048499399064431986,-0.0006825347800070345,-0.07059606381997313,0.008994067394106965,-0.0021683369365758515,0.0007854423018387553,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.17145528303135998,2.942354555618284,0,0.16904406136576003,2.949172833345051,0.16904406136576003,2.949172833345051
208.59999999999243,0.005280614096633384,-0.0022980906863555523,-0.03751350905934517,0.0004747773879866668,-0.006454597901899642,-0.00026799033417126506,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.17276877115196276,2.929047359435042,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,-0.036891196187227006,-0.003923249349771482,-0.05803748971016884,-0.00916823271704153,-0.006807573039773443,0.0011935682700518553,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.17276877115196276,2.929047359435042,0,0.17042215587344778,2.935469454375901,0.17042215587344778,2.935469454375901
208.69999999999243,0.005051116262700217,-0.0022425818566156213,-0.037464548994715303,0.0004210879775842784,-0.006481396935316769,-0.00017130350632850032,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.17392661232920767,2.927209301809062,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,-0.00615877004226615,-0.0015876285230724528,-0.05867357390102925,-0.0037722735632280987,-0.006397510262703907,-0.002032059776842138,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.17392661232920767,2.927209301809062,0,0.17164541378525727,2.9333943589176985,0.17164541378525727,2.9333943589176985
208.79999999999242,0.004827135709319752,-0.0021870676174141996,-0.03742098758527694,0.0003674149636598806,-0.006498527285949619,-7.462445944141245e-05,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.1744950028485433,2.930871663700138,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.046090228915888806,-0.012586803710392867,-0.011859350555490766,-0.0031720574689043093,-0.010955860883752822,0.0012851454033857052,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.1744950028485433,2.930871663700138,0,0.17227889121529102,2.936883942264322,0.17227889121529102,2.936883942264322
208.89999999999242,0.004608672329585176,-0.0021315599174336185,-0.037382825602865426,0.00031377744982147797,-0.00650598973189376,2.2028287123727476e-05,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.17428232874901906,2.94620832599238,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.053015499348193745,-0.016046754654449484,-0.011765816822804313,0.0046719437720772255,-0.005383133185975532,0.0006725714947781457,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.17428232874901906,2.94620832599238,0,0.1721297882482771,2.9521797256401068,0.1721297882482771,2.9521797256401068
208.9999999999924,0.004395724990895415,-0.002076052050044476,-0.03735006174104773,0.0002602161922153397,-0.0065037869031813874,0.00011861584701590651,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.17658527244481553,2.9549157670442203,-1.4142504405741978,1.4261190794163263,10.0,2.2353179329560673,0.014650627380024574,0.006350268880262749,-0.04819191949233812,0.0030950840441287255,-0.0029500463936631698,-0.00043444970809024123,-1.4529629074912394,1.2748719773129262,10.0,-1.8475606578224768,0.17658527244481553,2.9549157670442203,0,0.17449623396089925,2.9607546439971966,0.17449623396089925,2.9607546439971966
