x [m],y [m]
1251.497398,-1334.475403
1240.425382,-1337.556653
1243.73761,-1359.655412
1247.337168,-1359.899544
1248.21271,-1365.863246
1216.423519,-1370.342565
1209.548714,-1362.515586
1212.119838,-1360.817449
1205.986259,-1352.756768
1198.722245,-1358.54238
1196.433728,-1356.778945
1209.099473,-1337.793789
1206.746102,-1335.750418
1194.691879,-1351.75741
1189.058606,-1347.416647
1199.514925,-1278.322491
1192.36679,-1274.309141
1179.237371,-1352.151621
1186.918177,-1377.501621
1175.776653,-1379.034633
1180.057144,-1397.510233
1170.421073,-1450.793993
1175.183371,-1505.054102
1154.60975,-1537.032125
795.6786003,-1538.596519
793.9184428,-1465.148401
1062.206738,-1459.967719
1062.517105,-1468.485343
1086.546767,-1460.786086
1101.714151,-1445.108284
1105.767809,-1421.096784
1099.300698,-1400.361417
1087.14465,-1388.465036
1125.833744,-1170.954955
1118.889515,-1161.579627
1121.91471,-1155.287165
1118.143777,-1151.806501
1111.681204,-1154.185443
1031.866235,-1080.264617
1091.684121,-1013.561235
1095.978503,-1018.36515
1119.466588,-984.6075324
1109.798369,-978.7671569
1082.511537,-1010.172497
1086.551159,-1012.940383
1066.908383,-1033.333657
1061.516043,-1029.408428
1058.143351,-1036.697987
1062.989059,-1039.512099
1023.749857,-1077.689815
1012.955923,-1067.302682
886.2087022,-1202.474051
804.0258614,-1127.074819
834.7596442,-1095.565505
795.354638,-1057.497899
765.5889976,-1089.753382
679.9966534,-1011.496748
684.0550142,-1006.23017
669.5641807,-992.9944933
660.6877418,-1000.872567
639.210844,-984.3234641
646.864319,-973.6632727
620.7965814,-949.7821904
613.022745,-955.8653078
595.1639838,-940.2644223
598.0873661,-934.4681813
599.8477665,-935.8246666
605.1802186,-927.630345
599.3708997,-923.1539405
594.0291882,-930.9961806
596.9338488,-933.2343813
593.598189,-937.5631027
577.8148314,-924.3663097
583.0545629,-919.2050933
585.1670431,-920.8328759
601.9102086,-899.4691887
597.0691137,-895.7388463
