,x [m],y [m],,,,,,
126,-670.4789864,1024.872483,,,,502,-987.182367,1412.605725
127,-660.5905268,1013.398867,,,,503,-1008.180038,1439.786041
128,-615.9454906,961.5297505,,,,504,-1017.803214,1431.68238
129,-615.1215681,833.680859,,,,505,-1258.829072,2008.850967
130,-614.0687332,781.6400314,,,,506,-1216.656507,1876.078245
131,-615.0407028,757.2427238,,,,507,-1215.428902,1871.719933
132,-649.5540018,555.1279464,,,,508,-1179.997875,1745.663168
133,-665.5175754,557.7633152,,,,509,-1129.403785,1581.035279
134,-673.1010598,510.3453861,,,,510,-1125.901762,1564.559927
135,-635.6338311,460.8902225,,,,511,-1122.791613,1555.416598
136,-623.6108148,447.681197,,,,512,-1114.963893,1546.261563
137,-605.715338,446.5392616,,,,513,-1033.339823,1450.010837
138,-594.9780368,443.140555,,,,514,-1024.427805,1457.021462
139,-574.8157652,419.8325192,,,,515,-1112.499575,1560.509523
140,-478.6136563,309.4842013,,,,516,-1213.090169,1903.940957
141,-386.3743847,203.2541985,,,,517,-1244.357368,2012.972675
142,-369.7553138,184.1037046,,,,518,-1258.829072,2008.850967
143,-235.2135229,25.09028497,,,,519,-1348.045061,2213.839622
144,-147.3812581,26.9392725,,,,520,-1193.946583,2053.503949
145,-146.8869714,34.189144,,,,521,-1163.762159,2021.878925
146,-16.25007895,35.25430895,,,,522,-1146.222727,2039.765753
147,-16.54459724,19.54649521,,,,523,-1190.125739,2083.355045
148,12.22572062,19.65644282,,,,524,-1329.61642,2232.234296
149,13.3548424,35.25846166,,,,525,-1348.045061,2213.839622
150,74.41438856,36.14897483,,,,518,-1258.829072,2008.850967
151,91.56015782,-17.67333505,,,,,,
152,114.05394,-86.74438766,,,,,,
153,112.6041381,-118.0822367,,,,,,
154,108.6098165,-129.239394,,,,,,
155,42.41986201,-129.7852449,,,,,,
156,-72.97759061,-129.8462069,,,,,,
157,-80.34792705,-129.8352387,,,,,,
158,-83.66444978,-132.3051871,,,,,,
159,21.45495486,-256.616327,,,,,,
160,12.45705741,-263.056931,,,,,,
161,8.260323939,-259.0027565,,,,,,
162,-4.180337554,-269.079033,,,,,,
163,13.43382835,-288.8555264,,,,,,
164,24.18458511,-278.5627682,,,,,,
165,22.93790057,-274.8865037,,,,,,
166,30.94312434,-266.0165589,,,,,,
167,62.37597488,-302.1269131,,,,,,
168,149.4250666,-373.4002524,,,,,,
169,154.0539751,-377.4773016,,,,,,
170,155.2988505,-381.1544546,,,,,,
171,153.0718454,-411.7698656,,,,,,
172,193.5033853,-444.6448398,,,,,,
173,197.566966,-446.3472924,,,,,,
174,222.9713438,-439.0833547,,,,,,
175,312.7272503,-512.4466014,,,,,,
176,469.0935867,-642.1709763,,,,,,
177,461.7716621,-652.3125903,,,,,,
178,454.1932323,-647.8554581,,,,,,
179,447.5946123,-655.7550649,,,,,,
180,469.3081435,-673.7231549,,,,,,
181,476.1296834,-664.0775804,,,,,,
182,476.0374145,-663.9100415,,,,,,
183,473.6936788,-659.6888203,,,,,,
184,480.4186173,-650.6234993,,,,,,
185,550.1098023,-709.746434,,,,,,
186,542.3841577,-719.8352099,,,,,,
